 format: day,hour,value location:61_128 Start : 20191001 
 4, 1200, 66.000000 
 4, 1300, 71.000000 
 4, 1400, 76.000000 
 4, 1500, 82.000000 
 4, 1600, 87.000000 
 4, 1700, 86.000000 
 4, 1800, 88.000000 
 4, 1900, 90.000000 
 4, 2000, 90.000000 
 4, 2100, 90.000000 
 4, 2200, 87.000000 
 4, 2300, 81.000000 
 5, 0000, 77.000000 
 5, 0100, 69.000000 
 5, 0200, 62.000000 
 5, 0300, 50.000000 
 5, 0400, 49.000000 
 5, 0500, 49.000000 
 5, 0600, 52.000000 
 5, 0700, 59.000000 
 5, 0800, 61.000000 
 5, 0900, 71.000000 
 5, 1000, 67.000000 
 5, 1100, 66.000000 
 5, 1200, 76.000000 
 5, 1300, 81.000000 
 5, 1400, 84.000000 
 5, 1500, 86.000000 
 5, 1600, 83.000000 
 5, 1700, 87.000000 
 5, 1800, 88.000000 
 5, 1900, 89.000000 
 5, 2000, 91.000000 
 5, 2100, 90.000000 
 5, 2200, 88.000000 
 5, 2300, 85.000000 
 6, 0000, 78.000000 
 6, 0100, 70.000000 
 6, 0200, 51.000000 
 6, 0300, 46.000000 
 6, 0400, 46.000000 
 6, 0500, 43.000000 
 6, 0600, 45.000000 
 6, 0700, 47.000000 
 6, 0800, 64.000000 
 6, 0900, 57.000000 
 6, 1000, 55.000000 
 6, 1100, 64.000000 
 6, 1200, 65.000000 
 6, 1300, 65.000000 
 6, 1400, 69.000000 
 6, 1500, 78.000000 
 6, 1600, 78.000000 
 6, 1700, 78.000000 
 6, 1800, 80.000000 
 6, 1900, 80.000000 
 6, 2000, 75.000000 
 6, 2100, 77.000000 
 6, 2200, 73.000000 
 6, 2300, 50.000000 
 7, 0000, 49.000000 
 7, 0100, 44.000000 
 7, 0200, 39.000000 
 7, 0300, 32.000000 
 7, 0400, 26.000000 
 7, 0500, 26.000000 
 7, 0600, 27.000000 
 7, 0700, 29.000000 
 7, 0800, 30.000000 
 7, 0900, 31.000000 
 7, 1000, 31.000000 
 7, 1100, 29.000000 
 7, 1200, 28.000000 
 7, 1300, 32.000000 
 7, 1400, 32.000000 
 7, 1500, 36.000000 
 7, 1600, 40.000000 
 7, 1700, 43.000000 
 7, 1800, 45.000000 
 7, 1900, 46.000000 
 7, 2000, 46.000000 
 7, 2100, 45.000000 
 7, 2200, 44.000000 
 7, 2300, 37.000000 
 8, 0000, 30.000000 
 8, 0100, 29.000000 
 8, 0200, 28.000000 
 8, 0300, 23.000000 
 8, 0400, 21.000000 
 8, 0500, 20.000000 
 8, 0600, 23.000000 
 8, 0700, 27.000000 
 8, 0800, 30.000000 
 8, 0900, 32.000000 
 8, 1000, 38.000000 
 8, 1100, 40.000000 
 8, 1200, 42.000000 
 8, 1300, 42.000000 
 8, 1400, 44.000000 
 8, 1500, 46.000000 
 8, 1600, 49.000000 
 8, 1700, 52.000000 
 8, 1800, 53.000000 
 8, 1900, 56.000000 
 8, 2000, 57.000000 
